Date,Size,Factory,Location,X,Y
2022-08-01,55',A1,LC51,868,688
2022-08-01,45',A2,LC41,533,1361
2022-08-01,45',A3,LC45,16,790
2022-08-01,35',A3,LC35,179,1231
2022-08-01,55',A2,LC45,854,138
2022-08-01,45',A3,LC55,70,838
2022-08-01,55',A4,LC51,775,735
2022-08-01,35',A2,LC31,1544,549
2022-08-01,55',A4,LC31,872,1020
2022-08-01,55',A2,LC41,224,690
2022-08-01,45',A4,LC55,543,394
2022-08-01,45',A4,LC45,301,826
2022-08-01,75',A4,LC45,315,747
2022-08-01,45',A2,LC51,715,1339
2022-08-01,45',A2,LC45,1416,1532
2022-08-01,45',A4,LC31,546,860
2022-08-01,55',A1,LC41,1157,872
2022-08-01,45',A1,LC55,36,1000
2022-08-01,55',A3,LC51,217,673
2022-08-01,45',A1,LC35,633,1094
2022-08-01,35',A4,LC41,1769,427
2022-08-01,55',A4,LC55,96,1444
2022-08-01,35',A4,LC51,475,623
2022-08-01,45',A3,LC45,357,1605
2022-08-01,45',A2,LC51,1765,1105
2022-08-01,35',A4,LC45,370,1455
2022-08-01,45',A1,LC31,283,754
2022-08-01,55',A3,LC55,961,1636
2022-08-01,55',A4,LC45,610,143
2022-08-01,45',A2,LC51,1371,900
2022-08-01,45',A1,LC41,1250,1509
2022-08-01,55',A2,LC45,538,363
2022-08-01,45',A4,LC31,869,507
2022-08-01,75',A4,LC31,1758,1674
2022-08-01,55',A4,LC55,190,783
2022-08-01,55',A3,LC51,959,24
2022-08-01,45',A1,LC55,803,1431
2022-08-01,55',A4,LC51,843,833
2022-08-01,55',A4,LC41,891,885
2022-08-01,45',A2,LC45,37,1551
2022-08-01,45',A4,LC45,1182,144
2022-08-01,35',A3,LC35,1541,1482
2022-08-01,45',A4,LC35,199,1459
2022-08-01,45',A4,LC41,446,679
2022-08-01,55',A2,LC41,1481,385
2022-08-01,45',A3,LC51,989,201
2022-08-01,35',A4,LC41,1287,1179
2022-08-01,45',A3,LC51,502,137
2022-08-01,55',A1,LC35,1161,267
2022-08-01,35',A2,LC45,1695,195
2022-08-01,75',A2,LC35,411,492
2022-08-01,35',A3,LC31,1232,1427
2022-08-01,45',A4,LC45,372,385
2022-08-01,35',A4,LC45,1216,1147
2022-08-01,35',A4,LC55,810,535
2022-08-01,55',A2,LC41,664,977
2022-08-01,45',A2,LC45,1031,1530
2022-08-01,55',A2,LC31,1791,449
2022-08-01,35',A2,LC51,686,1486
2022-08-01,75',A2,LC45,1859,1524
2022-08-01,75',A2,LC55,14,602
2022-08-01,55',A4,LC41,1705,1398
2022-08-01,45',A1,LC41,1880,1426
2022-08-01,55',A4,LC51,69,211
2022-08-01,45',A3,LC51,457,1094
2022-08-01,35',A2,LC45,515,1235
2022-08-01,75',A2,LC45,142,905
2022-08-01,45',A4,LC45,31,1424
2022-08-01,55',A3,LC41,1638,920
2022-08-01,35',A2,LC31,537,473
2022-08-01,45',A3,LC45,558,1599
2022-08-01,35',A2,LC51,151,44
2022-08-01,35',A4,LC41,1758,502
2022-08-01,55',A4,LC31,666,881
2022-08-01,55',A3,LC51,1104,220
2022-08-01,35',A2,LC45,153,1160
2022-08-01,45',A4,LC51,441,397
2022-08-01,35',A3,LC51,1105,789
2022-08-01,75',A3,LC35,112,1409
2022-08-01,55',A4,LC35,13,459
2022-08-01,35',A4,LC45,580,154
2022-08-01,55',A3,LC45,237,28
2022-08-01,45',A1,LC45,1380,12
2022-08-01,45',A4,LC31,1144,1592
2022-08-01,55',A4,LC45,1617,8
2022-08-01,55',A1,LC31,1652,322
2022-08-01,35',A4,LC45,1459,637
2022-08-01,35',A2,LC51,1364,1468
2022-08-01,55',A4,LC45,617,83
2022-08-01,45',A2,LC41,1339,193
2022-08-01,45',A4,LC41,532,986
2022-08-01,35',A2,LC41,1096,1071
2022-08-01,55',A4,LC31,920,1601
2022-08-01,45',A4,LC35,44,1229
2022-08-01,55',A4,LC31,1443,492
2022-08-01,55',A2,LC55,865,1511
2022-08-01,55',A4,LC35,56,1029
2022-08-01,55',A4,LC51,1761,1122
2022-08-01,35',A3,LC41,1445,412
2022-08-01,75',A3,LC45,42,4
2022-08-01,45',A4,LC35,49,54
2022-08-01,45',A4,LC51,1132,874
2022-08-01,55',A4,LC51,1601,1033
2022-08-01,55',A1,LC55,123,48
2022-08-01,75',A2,LC45,435,1658
2022-08-01,55',A2,LC41,1211,973
2022-08-01,75',A4,LC41,1723,1362
2022-08-01,55',A4,LC45,7,914
2022-08-01,35',A2,LC31,634,1369
2022-08-01,55',A4,LC51,100,1658
2022-08-01,55',A2,LC31,928,1559
2022-08-01,75',A4,LC45,26,8
2022-08-01,45',A3,LC55,395,1651
2022-08-01,45',A3,LC45,578,561
2022-08-01,45',A3,LC35,1470,1174
2022-08-01,45',A4,LC51,1854,1141
2022-08-01,45',A4,LC55,170,715
2022-08-01,45',A2,LC41,394,1051
2022-08-01,35',A4,LC51,556,1435
2022-08-01,45',A4,LC55,894,1048
2022-08-01,45',A4,LC45,181,646
2022-08-01,55',A4,LC41,546,80
2022-08-01,55',A3,LC51,1735,234
2022-08-01,55',A2,LC41,523,206
2022-08-01,45',A3,LC31,1411,1559
2022-08-01,55',A4,LC51,106,1488
2022-08-01,55',A3,LC45,1750,1628
2022-08-01,45',A2,LC51,488,1353
2022-08-01,45',A4,LC31,609,590
2022-08-01,45',A1,LC45,1260,1141
2022-08-01,35',A4,LC41,777,1170
2022-08-01,75',A4,LC55,472,632
2022-08-01,45',A4,LC45,311,810
2022-08-01,55',A2,LC41,98,15
2022-08-01,45',A2,LC55,424,585
2022-08-01,55',A4,LC45,656,1245
2022-08-01,35',A3,LC35,860,171
2022-08-01,55',A3,LC31,632,932
2022-08-01,35',A4,LC31,1131,1290
2022-08-01,55',A2,LC45,69,847
2022-08-01,35',A3,LC35,2,947
2022-08-01,55',A4,LC51,1610,1432
2022-08-01,35',A4,LC51,1773,1416
2022-08-01,35',A3,LC45,251,1536
2022-08-01,45',A2,LC45,595,787
2022-08-01,35',A3,LC45,1265,293
2022-08-01,45',A2,LC41,778,767
2022-08-01,55',A4,LC41,1757,792
2022-08-01,45',A2,LC31,787,1499
2022-08-01,45',A3,LC35,212,437
2022-08-01,55',A4,LC45,245,1627
2022-08-01,35',A3,LC55,1063,856
2022-08-01,55',A2,LC45,731,1436
2022-08-01,45',A1,LC45,6,817
2022-08-01,75',A3,LC35,333,1107
2022-08-01,55',A1,LC41,531,1498
2022-08-01,55',A3,LC55,1234,1404
2022-08-01,55',A2,LC51,810,1503
2022-08-01,45',A3,LC45,157,107
2022-08-01,75',A4,LC45,667,763
2022-08-01,45',A1,LC45,249,1368
2022-08-01,55',A4,LC41,611,505
2022-08-01,75',A3,LC55,675,1479
2022-08-01,35',A2,LC41,1579,705
2022-08-01,35',A1,LC51,144,583
2022-08-01,35',A4,LC55,873,578
2022-08-01,45',A3,LC45,729,896
2022-08-01,45',A1,LC41,861,1191
2022-08-01,35',A1,LC51,1163,1153
2022-08-01,35',A4,LC45,876,918
2022-08-01,45',A4,LC51,1752,256
2022-08-01,35',A3,LC51,874,182
2022-08-01,45',A1,LC55,614,1426
2022-08-01,55',A2,LC31,938,367
2022-08-01,75',A2,LC31,33,1309
2022-08-01,55',A4,LC51,897,1222
2022-08-01,55',A1,LC41,578,700
2022-08-01,35',A3,LC45,327,825
2022-08-01,55',A3,LC41,1828,1467
2022-08-01,35',A3,LC45,1355,1628
2022-08-01,55',A4,LC55,880,411
2022-08-01,75',A4,LC45,108,116
2022-08-01,75',A2,LC45,773,1421
2022-08-01,55',A4,LC45,710,1176
2022-08-01,45',A2,LC45,59,283
2022-08-01,45',A4,LC45,4,389
2022-08-01,55',A3,LC31,1523,1382
2022-08-01,35',A2,LC45,291,545
2022-08-01,45',A1,LC51,85,1306
2022-08-01,45',A3,LC31,1684,1101
2022-08-01,75',A3,LC51,553,183
2022-08-01,45',A2,LC41,952,1225
2022-08-01,35',A4,LC45,684,514
2022-08-01,45',A4,LC55,174,1569
2022-08-01,45',A4,LC31,1827,1096
2022-08-01,75',A4,LC45,1319,303
2022-08-01,45',A2,LC31,43,631
2022-08-01,45',A3,LC41,1699,1514
2022-08-01,55',A4,LC35,1096,237
2022-08-01,45',A4,LC45,141,1212
2022-08-01,35',A2,LC41,683,1485
2022-08-01,55',A3,LC51,1573,564
2022-08-01,45',A4,LC31,1824,706
2022-08-01,45',A4,LC41,346,1060
2022-08-01,45',A3,LC55,466,14
2022-08-01,55',A4,LC51,1873,196
2022-08-01,55',A3,LC31,207,1166
2022-08-01,55',A3,LC51,1432,511
2022-08-01,35',A2,LC35,814,86
2022-08-01,35',A3,LC45,1366,956
2022-08-01,35',A2,LC41,246,217
2022-08-01,55',A2,LC45,815,1303
2022-08-01,45',A3,LC35,52,1245
2022-08-01,45',A4,LC41,1596,1322
2022-08-01,45',A2,LC35,68,798
2022-08-01,55',A4,LC51,345,228
2022-08-01,45',A2,LC41,969,1573
2022-08-01,35',A4,LC35,173,1246
2022-08-01,45',A3,LC55,502,264
2022-08-01,55',A1,LC41,904,210
2022-08-01,45',A4,LC55,1495,683
2022-08-01,35',A3,LC45,6,498
2022-08-01,55',A2,LC45,619,1032
2022-08-01,45',A4,LC31,364,174
2022-08-01,45',A4,LC45,514,342
2022-08-01,75',A2,LC45,263,405
2022-08-01,45',A3,LC45,1425,306
2022-08-01,45',A4,LC45,323,1533
2022-08-01,45',A2,LC45,83,1024
2022-08-01,35',A4,LC51,1531,144
2022-08-01,35',A2,LC51,109,1510
2022-08-01,45',A4,LC45,3,771
2022-08-01,45',A2,LC35,496,1269
2022-08-01,35',A4,LC45,1173,1355
2022-08-01,45',A4,LC45,242,1093
2022-08-01,45',A3,LC45,38,1598
2022-08-01,45',A4,LC45,250,1425
2022-08-01,45',A4,LC51,1228,1530
2022-08-01,55',A3,LC45,856,1620
2022-08-01,55',A4,LC45,164,681
2022-08-01,45',A2,LC55,51,388
2022-08-01,45',A1,LC35,1729,1215
2022-08-01,55',A3,LC45,231,273
2022-08-01,75',A2,LC31,1890,767
2022-08-01,45',A3,LC45,85,388
2022-08-01,35',A1,LC45,1573,770
2022-08-01,45',A2,LC45,233,1174
2022-08-01,35',A4,LC45,164,101
2022-08-01,55',A3,LC31,1114,676
2022-08-01,55',A3,LC51,1397,46
2022-08-01,55',A3,LC51,24,1488
2022-08-01,35',A3,LC45,11,294
2022-08-01,45',A4,LC55,417,812
2022-08-01,45',A4,LC51,53,740
2022-08-01,45',A1,LC45,772,45
2022-08-01,45',A2,LC31,1546,350
2022-08-01,75',A2,LC45,709,489
2022-08-01,45',A3,LC55,2,681
2022-08-01,45',A3,LC31,515,944
2022-08-01,35',A2,LC45,2,443
2022-08-01,45',A4,LC41,507,23
2022-08-01,35',A3,LC35,742,306
2022-08-01,45',A3,LC51,1195,727
2022-08-01,55',A2,LC35,535,232
2022-08-01,45',A2,LC35,1365,595
2022-08-01,45',A1,LC51,487,1483
2022-08-01,45',A3,LC41,539,1560
2022-08-01,55',A4,LC45,1026,59
2022-08-01,45',A4,LC45,911,1197
2022-08-01,45',A2,LC45,1330,669
2022-08-01,45',A3,LC45,45,1439
2022-08-01,35',A2,LC41,644,1448
2022-08-01,75',A4,LC51,618,901
2022-08-01,75',A2,LC35,423,1084
2022-08-01,75',A3,LC45,864,1297
2022-08-01,45',A3,LC35,5,1484
2022-08-01,45',A4,LC35,986,1620
2022-08-01,55',A1,LC45,117,1268
2022-08-01,45',A4,LC31,1070,425
2022-08-01,55',A4,LC51,1892,618
2022-08-01,45',A3,LC51,933,1058
2022-08-01,35',A4,LC45,893,156
2022-08-01,75',A3,LC41,479,600
2022-08-01,75',A4,LC45,5,1603
2022-08-01,35',A3,LC45,957,838
2022-08-01,55',A4,LC31,863,1470
2022-08-01,35',A4,LC51,1948,1264
2022-08-01,55',A3,LC45,1226,492
2022-08-01,45',A4,LC45,1079,335
2022-08-01,45',A1,LC45,166,1083
2022-08-01,45',A2,LC45,668,424
2022-08-01,45',A4,LC35,162,283
2022-08-01,45',A3,LC51,139,1181
2022-08-01,55',A4,LC55,813,1369
2022-08-01,35',A2,LC45,0,327
2022-08-01,55',A4,LC31,332,1653
2022-08-01,45',A1,LC41,1181,1679
2022-08-01,45',A1,LC41,1379,289
2022-08-01,45',A3,LC51,201,626
2022-08-01,45',A2,LC45,288,116
2022-08-01,35',A2,LC45,3,669
2022-08-01,45',A2,LC41,739,1269
2022-08-01,55',A4,LC41,483,1238
2022-08-01,45',A4,LC55,526,411
2022-08-01,45',A4,LC31,1451,419
2022-08-01,55',A2,LC45,307,1581
2022-08-01,55',A4,LC55,720,1634
2022-08-01,35',A4,LC51,750,529
2022-08-01,45',A4,LC35,446,172
2022-08-01,75',A4,LC31,238,1566
2022-08-01,35',A4,LC45,895,1142
2022-08-01,55',A4,LC51,1113,32
2022-08-01,45',A4,LC31,1615,1163
2022-08-01,55',A4,LC31,357,1520
2022-08-01,75',A4,LC45,1258,193
2022-08-01,75',A4,LC31,802,81
2022-08-01,55',A4,LC41,1844,366
2022-08-01,35',A1,LC55,728,409
2022-08-01,45',A3,LC35,830,1022
2022-08-01,45',A3,LC45,104,1145
2022-08-01,45',A4,LC45,209,427
2022-08-01,55',A2,LC45,560,914
2022-08-01,35',A3,LC51,1357,1543
2022-08-01,35',A3,LC51,539,1086
2022-08-01,45',A3,LC55,15,274
2022-08-01,75',A2,LC45,63,127
2022-08-01,45',A4,LC45,176,817
2022-08-01,45',A2,LC31,519,1173
2022-08-01,45',A4,LC31,1082,161
2022-08-01,55',A4,LC41,1854,341
2022-08-01,35',A4,LC45,706,1575
2022-08-01,75',A2,LC45,235,962
2022-08-01,45',A2,LC41,1626,118
2022-08-01,45',A4,LC41,37,1564
2022-08-01,45',A2,LC51,1588,315
2022-08-01,45',A4,LC41,1000,1644
2022-08-01,45',A3,LC31,117,595
2022-08-01,35',A4,LC45,113,364
2022-08-01,75',A2,LC51,918,830
2022-08-01,45',A3,LC45,165,1236
2022-08-01,55',A4,LC45,1444,1405
2022-08-01,45',A4,LC55,931,548
2022-08-01,75',A2,LC31,1624,1598
2022-08-01,35',A1,LC51,1309,1331
2022-08-01,35',A2,LC35,568,142
2022-08-01,45',A4,LC51,891,891
2022-08-01,35',A2,LC41,615,655
2022-08-01,45',A4,LC41,1782,375
2022-08-01,45',A2,LC45,1,1333
2022-08-01,35',A2,LC41,1081,1033
2022-08-01,45',A4,LC51,1762,1407
2022-08-01,35',A4,LC51,1620,241
2022-08-01,45',A4,LC35,1272,207
2022-08-01,45',A2,LC51,702,1033
2022-08-01,45',A2,LC55,182,1191
2022-08-01,35',A2,LC45,1467,1541
2022-08-01,75',A1,LC41,1424,223
2022-08-01,55',A4,LC41,90,431
2022-08-01,55',A4,LC41,548,1298
2022-08-01,45',A2,LC45,73,183
2022-08-01,45',A4,LC35,164,1218
2022-08-01,55',A3,LC35,607,587
2022-08-01,45',A4,LC41,1790,1359
2022-08-01,35',A3,LC51,194,687
2022-08-01,35',A3,LC51,1097,1121
2022-08-01,45',A4,LC41,120,1008
2022-08-01,75',A2,LC45,990,396
2022-08-01,35',A3,LC41,1411,580
2022-08-01,45',A2,LC45,1631,538
2022-08-01,45',A2,LC31,972,500
2022-08-01,45',A1,LC45,529,704
2022-08-01,35',A2,LC31,584,1529
2022-08-01,55',A3,LC41,731,236
2022-08-01,55',A4,LC45,400,271
2022-08-01,45',A4,LC35,189,1155
2022-08-01,45',A3,LC41,1522,293
2022-08-01,75',A4,LC45,10,167
2022-08-01,35',A4,LC45,111,909
2022-08-01,35',A2,LC55,194,1139
2022-08-01,45',A3,LC45,67,296
2022-08-01,35',A4,LC45,1235,1591
2022-08-01,55',A4,LC41,1757,1298
2022-08-01,35',A2,LC35,252,1494
2022-08-01,35',A4,LC45,36,472
2022-08-01,45',A1,LC51,1814,401
2022-08-01,55',A4,LC35,740,1099
2022-08-01,55',A2,LC45,19,1633
2022-08-01,45',A2,LC35,114,1039
2022-08-01,55',A3,LC51,1496,1142
2022-08-01,55',A1,LC45,271,1491
2022-08-01,45',A2,LC51,1360,885
2022-08-01,35',A2,LC41,1775,1425
2022-08-01,75',A3,LC51,700,480
2022-08-01,35',A4,LC55,79,539
2022-08-01,45',A4,LC41,1858,690
2022-08-01,55',A3,LC45,203,104
2022-08-01,45',A4,LC55,475,1284
2022-08-01,35',A3,LC45,807,1086
2022-08-01,35',A3,LC45,422,1444
2022-08-01,55',A4,LC45,23,1431
2022-08-01,45',A4,LC41,958,269
2022-08-01,45',A2,LC51,351,1557
2022-08-01,45',A4,LC51,1330,768
2022-08-01,55',A2,LC51,1331,1654
2022-08-01,45',A4,LC55,169,1239
2022-08-01,55',A2,LC45,623,133
2022-08-01,45',A4,LC45,289,384
2022-08-01,35',A4,LC41,946,800
2022-08-01,55',A4,LC41,148,1171
2022-08-01,55',A2,LC45,697,1304
2022-08-01,35',A4,LC31,824,1058
2022-08-01,55',A4,LC41,824,54
2022-08-01,45',A3,LC45,21,891
2022-08-01,55',A4,LC41,1291,1650
2022-08-01,35',A4,LC41,62,1416
2022-08-01,75',A4,LC55,51,1393
2022-08-01,55',A4,LC51,1333,1392
2022-08-01,45',A1,LC55,534,780
2022-08-01,35',A2,LC45,461,533
2022-08-01,55',A4,LC51,227,984
2022-08-01,55',A3,LC41,403,1650
2022-08-01,55',A2,LC45,1447,382
2022-08-01,45',A4,LC51,290,419
2022-08-01,45',A4,LC41,1469,1522
2022-08-01,45',A3,LC45,751,1543
2022-08-01,45',A4,LC55,15,177
2022-08-01,75',A3,LC51,1910,925
2022-08-01,75',A1,LC51,346,910
2022-08-01,55',A3,LC51,863,1496
2022-08-01,75',A4,LC51,153,1331
2022-08-01,45',A2,LC45,362,583
2022-08-01,45',A3,LC41,491,162
2022-08-01,45',A2,LC31,1271,1291
2022-08-01,55',A3,LC51,755,694
2022-08-01,55',A1,LC51,402,808
2022-08-01,55',A3,LC45,633,1097
2022-08-01,45',A2,LC45,675,1654
2022-08-01,45',A2,LC41,245,22
2022-08-01,45',A2,LC45,830,120
2022-08-01,35',A2,LC35,4,276
2022-08-01,35',A3,LC41,1924,385
2022-08-01,35',A2,LC31,577,510
2022-08-01,45',A1,LC41,1115,1158
2022-08-01,45',A4,LC55,326,474
2022-08-01,45',A3,LC35,1249,588
2022-08-01,55',A4,LC31,1091,207
2022-08-01,45',A4,LC41,1531,549
2022-08-01,45',A1,LC41,1765,466
2022-08-01,45',A2,LC35,17,1555
2022-08-01,35',A2,LC41,1333,72
2022-08-01,35',A4,LC31,1649,1087
2022-08-01,35',A4,LC35,802,205
2022-08-01,45',A2,LC45,259,652
2022-08-01,45',A4,LC45,428,529
2022-08-01,45',A4,LC45,656,110
2022-08-01,45',A2,LC41,1549,687
2022-08-01,55',A4,LC55,223,1608
2022-08-01,35',A2,LC45,189,716
2022-08-01,75',A3,LC55,93,749
2022-08-01,55',A2,LC45,511,1028
2022-08-01,35',A2,LC41,1227,822
2022-08-01,75',A1,LC41,5,994
2022-08-01,45',A4,LC45,322,1475
2022-08-01,45',A4,LC51,471,1014
2022-08-01,45',A2,LC31,1052,63
2022-08-01,45',A4,LC41,1138,659
2022-08-01,45',A3,LC51,1567,1279
2022-08-01,55',A2,LC45,707,820
2022-08-01,35',A2,LC51,385,377
2022-08-01,55',A4,LC51,455,1123
2022-08-01,45',A3,LC45,515,186
2022-08-01,35',A4,LC55,167,637
2022-08-01,55',A4,LC41,430,1255
2022-08-01,55',A4,LC41,420,247
2022-08-01,55',A2,LC45,1262,30
2022-08-01,75',A2,LC51,258,288
2022-08-01,45',A2,LC51,363,752
2022-08-01,45',A4,LC45,178,1529
2022-08-01,45',A2,LC35,83,1497
2022-08-01,45',A2,LC51,510,782
2022-08-01,55',A4,LC45,716,1298
2022-08-01,35',A4,LC51,1662,1233
2022-08-01,75',A2,LC45,603,817
2022-08-01,55',A4,LC45,310,1079
2022-08-01,45',A4,LC41,1181,161
2022-08-01,45',A4,LC41,834,711
2022-08-01,55',A4,LC35,169,935
2022-08-01,35',A2,LC45,480,1634
2022-08-01,55',A2,LC35,348,1085
2022-08-01,55',A2,LC45,762,736
2022-08-01,55',A4,LC45,682,656
2022-08-01,45',A4,LC55,404,1463
2022-08-01,45',A3,LC45,272,847
2022-08-01,45',A3,LC45,688,1269
2022-08-01,35',A3,LC51,967,269
2022-08-01,45',A3,LC45,259,1153
2022-08-01,35',A2,LC51,1936,1124
2022-08-01,45',A2,LC55,861,274
2022-08-01,55',A4,LC51,1975,1292
2022-08-01,45',A4,LC45,729,1630
2022-08-01,45',A4,LC45,259,1090
2022-08-01,75',A3,LC41,692,295
2022-08-01,35',A4,LC41,1533,76
2022-08-01,45',A3,LC31,1852,1399
2022-08-01,75',A4,LC51,383,1152
2022-08-01,35',A2,LC51,706,1233
2022-08-01,45',A1,LC41,348,1124
2022-08-01,45',A3,LC51,136,1226
2022-08-01,75',A3,LC51,208,1083
2022-08-01,45',A2,LC41,428,377
2022-08-01,55',A3,LC51,929,398
2022-08-01,75',A2,LC31,606,600
2022-08-01,55',A1,LC55,137,1102
2022-08-01,55',A2,LC45,253,599
2022-08-01,55',A3,LC55,864,396
2022-08-01,55',A2,LC45,180,603
2022-08-01,45',A3,LC45,757,400
2022-08-01,45',A3,LC35,894,399
2022-08-01,75',A4,LC41,1212,1501
2022-08-01,55',A3,LC55,111,400
2022-08-01,55',A2,LC51,617,601
2022-08-01,35',A4,LC41,1210,1502
2022-08-01,45',A4,LC41,1210,1501
2022-08-01,55',A3,LC45,473,403
2022-08-01,35',A2,LC45,318,599
2022-08-01,35',A2,LC55,23,599
2022-08-01,75',A4,LC51,1236,1500
2022-08-01,35',A2,LC45,37,599
2022-08-01,35',A4,LC55,572,1498
2022-08-01,55',A4,LC51,1233,1500
2022-08-01,55',A4,LC45,315,1501
2022-08-01,55',A2,LC41,604,602
2022-08-01,55',A2,LC51,617,601
2022-08-01,45',A2,LC45,549,602
2022-08-01,45',A4,LC55,561,1499
2022-08-01,55',A4,LC45,456,1499
2022-08-01,45',A4,LC55,378,1502
2022-08-01,35',A1,LC45,81,1100
2022-08-01,45',A1,LC45,34,1095
2022-08-01,45',A1,LC45,118,1100
2022-08-01,45',A2,LC45,462,598
2022-08-01,55',A4,LC41,1214,1501
2022-08-01,45',A3,LC45,466,396
2022-08-01,45',A4,LC45,298,1499
2022-08-01,45',A3,LC45,845,397
2022-08-01,45',A2,LC35,208,599
2022-08-01,45',A4,LC55,266,1500
