Created Date,Fault Name,Fault Type,Is Fault?,Part Name,Tootlip Text,Vehicle ID
2020-03-27,Apeture Size,Form,0,Exhaust,0,1FTSW2B50AE761270
2020-03-26,Buldge,Surface,1,Light 2,1,WA1YD64B54N333092
2020-03-18,Radius,Form,1,Light 2,1,WA1YD64B54N333092
2020-04-23,Radius,Form,0,Rear Light,0,3MZBM1K74FM833025
2020-04-07,Overall Dimensions,Form,1,Rear Window,1,3N1CN7AP2EK939866
2020-04-09,Wrinkle,Surface,1,Door Handle,1,1VWAP7A35EC026419
2020-04-26,Depression,Surface,0,Light 1,0,KMHGH4JH1CU754407
2020-03-18,Apeture Size,Form,0,Light 2,0,3G5DB03E12S632804
2020-03-21,Wrinkle,Surface,1,Rear Lower Body Part,1,5N1BA0ND2FN692433
2020-04-22,Depression,Surface,0,Side Grill,0,KNDMG4C75B6963764
2020-04-28,Dent,Surface,0,Spoiler,0,3C63DRNL5CG343418
2020-03-31,Gap,Panel Assembly,0,Door,0,JTDZN3EU1FJ780986
2020-03-03,Gap,Panel Assembly,1,Skirt,1,WA1EY94L78D787020
2020-04-04,Wrinkle,Surface,0,Light 2,0,WAUJFAFH8AN724154
2020-03-03,Contraction,Form,1,Spoiler,1,SCFAD01A38G066207
2020-04-27,Buldge,Surface,0,Wing Mirror,0,VNKKTUD36FA022252
2020-03-01,Elevation,Surface,1,Light 1,1,1FTFW1E88AF804006
2020-03-06,Flush - Recess,Panel Assembly,0,Side Grill,0,WVGEP9BP2FD406116
2020-04-03,Flush - Protrusion,Panel Assembly,1,Exhaust,1,1G6KD57Y97U077560
2020-04-19,Depression,Surface,1,Rear Window,1,1G6AD5S3XD0867055
2020-04-26,Scratch,Surface,0,Windscreen,0,3C4PDCEG7DT842207
2020-03-28,Elevation,Surface,0,Front Wheel,0,KNAFU5A26B5783419
2020-04-04,Buldge,Surface,1,Wing Mirror,1,3D73M4HL6BG108330
2020-03-31,Elevation,Surface,0,Rear Upper Body Part,0,2HKRM3H34EH648981
2020-03-27,Flush - Recess,Panel Assembly,0,Large Body Part,0,JN8AZ1MU6DW439711
2020-04-15,Buldge,Surface,1,Large Body Part,1,SCBLC31E62C252730
2020-03-15,Buldge,Surface,0,Rear Lower Body Part,0,2G4WY55J311679975
2020-03-11,Scratch,Surface,0,Exhaust,0,3GTU1YEJ0BG845816
2020-03-16,Elevation,Surface,1,Wing Mirror,1,WA1KK78R59A963024
2020-04-12,Radius,Form,0,Fuel Cap Cover,0,WBANW1C53AC915682
2020-04-02,Dent,Surface,1,Bonite,1,5UXFF03579L488082
2020-04-15,Buldge,Surface,0,Rear Bumper,0,WBA6B2C59ED810280
2020-04-07,Dent,Surface,0,Light 1,0,WBAYF4C57FD219777
2020-03-30,Apeture Size,Form,1,Windows,1,1FMJK1F56DE213026
2020-03-02,Buldge,Surface,1,Rear Upper Body Part,1,JN8AZ2KR1ET978292
2020-03-26,Flush - Recess,Panel Assembly,1,Skirt,1,WP0AB2A89FK636394
2020-04-11,Buldge,Surface,1,Front Wheel,1,5NPDH4AE0EH054209
2020-03-18,Overall Dimensions,Form,0,Rear Window,0,WA1CGAFE2CD451424
2020-03-08,Overall Dimensions,Form,0,Rear Window,0,3LN6L2G95ER211621
2020-03-10,Gap,Panel Assembly,1,Windscreen,1,2D4RN5DG6BR809768
2020-04-01,Contraction,Form,1,Rear Upper Body Part,1,4T1BD1EB4EU625204
2020-04-09,Depression,Surface,1,Rear Lower Body Part,1,WBAVB17526N370074
2020-03-14,Dent,Surface,0,Rear Lower Body Part,0,WAUDF78E78A032956
2020-04-02,Apeture Size,Form,0,Windows,0,4T1BD1FK4EU786375
2020-04-12,Gap,Panel Assembly,0,Wing Mirror,0,1G6DM5EY1B0244392
2020-03-26,Overall Dimensions,Form,1,Fuel Cap Cover,1,JH4CU2F80EC140032
2020-04-01,Scratch,Surface,1,Skirt,1,1B3CB3HA2AD509878
2020-04-21,Dent,Surface,0,Bonite,0,JN8CS1MU2DM927286
2020-03-11,Dent,Surface,1,Light 1,1,5N1AN0NWXDN754109
2020-04-09,Scratch,Surface,0,Bonite,0,WAUCVAFR6CA386445
2020-04-23,Scratch,Surface,1,Rear Wheels,1,SCBBR9ZA5AC708374
2020-04-13,Apeture Size,Form,0,Skirt,0,JH4CL95895C898416
2020-03-28,Depression,Surface,0,Door,0,WAUEH48H98K698587
2020-03-11,Flush - Recess,Panel Assembly,1,Rear Lower Body Part,1,5N1AA0ND1FN723778
2020-03-02,Elevation,Surface,0,Spoiler,0,1G6AB5R34D0420264
2020-04-14,Dent,Surface,1,Rear Lower Body Part,1,JTDZN3EUXFJ863882
2020-03-07,Apeture Size,Form,0,Rear Bumper,0,WBAKX8C57CC204417
2020-04-24,Elevation,Surface,0,Side Front Body,0,1G6AK5SXXD0372380
2020-04-29,Overall Dimensions,Form,1,Rear Lower Body Part,1,1G6AX5SX3E0259681
2020-04-22,Flush - Protrusion,Panel Assembly,0,Side Front Body,0,1FTEW1CF6FK445945
2020-04-17,Dent,Surface,0,Exhaust,0,WAUVVAFR8BA477854
2020-04-19,Buldge,Surface,0,Rear Light,0,JN8AF5MV9FT567003
2020-03-23,Gap,Panel Assembly,1,Spoiler,1,1FAHP3GN4AW889892
2020-03-28,Elevation,Surface,1,Skirt,1,1GTN1UEH4EZ094363
2020-04-24,Wrinkle,Surface,0,Door Handle,0,1G6KD5EY3AU134040
2020-03-11,Flush - Recess,Panel Assembly,0,Bonite,0,1GKS1AKC9FR832786
2020-03-24,Radius,Form,0,Side Grill,0,SALME1D4XCA676548
2020-04-08,Overall Dimensions,Form,1,Door Handle,1,WAU4FBFL2CA077350
2020-04-27,Dent,Surface,0,Rear Bumper,0,1N4AA5AP8DC097033
2020-03-21,Scratch,Surface,0,Wing Mirror,0,3D73Y4HL1AG212792
2020-04-02,Flush - Protrusion,Panel Assembly,0,Light 2,0,WAUKFAFL6CN352258
2020-04-18,Flush - Recess,Panel Assembly,1,Rear Bumper,1,YV4902BZ3E1690274
2020-03-15,Radius,Form,0,Side Front Body,0,WAUDN74F78N327355
2020-03-27,Radius,Form,1,Windscreen,1,WA1CMAFE9AD442709
2020-03-10,Gap,Panel Assembly,0,Exhaust,0,JN1CV6EK9EM637127
2020-03-02,Dent,Surface,0,Bonite,0,WAUHGAFC0FN374591
2020-03-20,Radius,Form,0,Wing Mirror,0,WAUEL94F35N537601
2020-03-14,Dent,Surface,1,Light 2,1,JTDZN3EU5D3858168
2020-03-06,Depression,Surface,1,Exhaust,1,WBAYA8C52DD497778
2020-04-24,Buldge,Surface,1,Windows,1,1G6YV36A365470690
2020-03-22,Apeture Size,Form,1,Bonite,1,1FTEW1C81AK317834
2020-04-20,Scratch,Surface,0,Spoiler,0,1FTEX1E86AF428415
2020-03-23,Radius,Form,0,Side Grill,0,JN8AE2KP3D9689419
2020-03-21,Overall Dimensions,Form,0,Exhaust,0,1GD02XEG3FZ511677
2020-04-06,Elevation,Surface,1,Exhaust,1,19UUA56741A933221
2020-04-11,Flush - Protrusion,Panel Assembly,1,Side Front Body,1,WP1AE2A20BL661171
2020-03-11,Scratch,Surface,1,Rear Bumper,1,5XXGM4A72EG405028
2020-03-30,Contraction,Form,1,Large Body Part,1,WAULT54B92N802496
2020-04-26,Overall Dimensions,Form,0,Large Body Part,0,WAUBFCFL2CN372891
2020-03-01,Wrinkle,Surface,1,Exhaust,1,1FTSF3A57AE212821
2020-03-17,Flush - Recess,Panel Assembly,0,Door Handle,0,1GYS3HEF4CR049711
2020-04-17,Radius,Form,1,Rear Bumper,1,5UXWX7C54F0644419
2020-03-05,Wrinkle,Surface,1,Rear Wheels,1,WAUVFAFR3DA241872
2020-04-17,Radius,Form,0,Bonite,0,WBADW7C57DE251510
2020-03-10,Wrinkle,Surface,0,Rear Window,0,WAUFFAFL2FA072513
2020-04-29,Crack,Form,0,Rear Upper Body Part,0,WP0AA2A88EK999299
2020-04-29,Contraction,Form,1,Fuel Cap Cover,1,WBAEH13486C236998
2020-04-11,Contraction,Form,0,Wing Mirror,0,JTJBM7FX5C5890011
2020-04-20,Flush - Recess,Panel Assembly,0,Wing Mirror,0,WA1BV94L07D736968
2020-04-23,Depression,Surface,0,Large Body Part,0,1GYS4HEF1DR413601
2020-03-16,Apeture Size,Form,0,Windows,0,3VWJP7AT0CM567776
2020-04-13,Flush - Protrusion,Panel Assembly,0,Rear Wheels,0,1FTSW3A51AE926170
2020-04-03,Dent,Surface,1,Side Grill,1,1C3CC5FB3AN371723
2020-03-20,Contraction,Form,0,Spoiler,0,WBA3C1G53DN932842
2020-04-10,Elevation,Surface,0,Fuel Cap Cover,0,5TDBW5G11DS205493
2020-04-20,Gap,Panel Assembly,1,Spoiler,1,3D73M4CL3AG777418
2020-04-21,Overall Dimensions,Form,0,Large Body Part,0,1FTEW1C84FK082353
2020-03-10,Buldge,Surface,0,Windscreen,0,KMHDB8AE6AU562320
2020-04-20,Radius,Form,1,Rear Light,1,1FTSX2A5XAE677584
2020-03-27,Dent,Surface,1,Bonite,1,WBANB53547C619047
2020-04-23,Apeture Size,Form,1,Windscreen,1,1G4PR5SK3E4478084
2020-04-04,Elevation,Surface,0,Exhaust,0,5N1AA0NC8FN881493
2020-03-17,Dent,Surface,1,Side Grill,1,SCFAB42301K210960
2020-03-19,Apeture Size,Form,1,Light 1,1,1G4HH5E90AU325169
2020-03-27,Gap,Panel Assembly,1,Large Body Part,1,SCBLC37F53C226976
2020-04-04,Buldge,Surface,0,Large Body Part,0,5N1AL0MM3DC622147
2020-04-03,Contraction,Form,0,Rear Wheels,0,JH4CL95927C148061
2020-04-10,Scratch,Surface,1,Windscreen,1,1FMCU5K32AK788137
2020-03-28,Gap,Panel Assembly,1,Bonite,1,5FRYD3H46GB251504
2020-04-18,Overall Dimensions,Form,1,Rear Window,1,WA1LGAFE5FD405042
2020-03-05,Overall Dimensions,Form,1,Rear Light,1,1G4PR5SK0E4405173
2020-03-26,Crack,Form,1,Bonite,1,1G6DV5EP1D0370761
2020-03-24,Radius,Form,0,Door Handle,0,SALAB2D40DA049800
2020-04-27,Radius,Form,1,Rear Bumper,1,3FAHP0DC4AR869601
2020-03-01,Radius,Form,1,Windscreen,1,1C4PJLAK0CW121982
2020-03-10,Flush - Recess,Panel Assembly,0,Windscreen,0,1N6AF0KY7FN733435
2020-03-11,Contraction,Form,0,Rear Lower Body Part,0,5N1AT2ML1EC716676
2020-03-01,Wrinkle,Surface,0,Wing Mirror,0,5N1AN0NU8DN280479
2020-03-04,Flush - Protrusion,Panel Assembly,1,Rear Window,1,SCBFT7ZA3DC827181
2020-03-27,Gap,Panel Assembly,0,Skirt,0,5N1AZ2MH2FN704939
2020-04-23,Wrinkle,Surface,0,Windows,0,4A31K5DF2CE489404
2020-03-02,Gap,Panel Assembly,0,Light 2,0,3N1AB6AP4BL933406
2020-04-06,Dent,Surface,0,Spoiler,0,KNADH4A33A6635686
2020-03-13,Wrinkle,Surface,0,Rear Window,0,2C4RDGEG4FR591653
2020-04-21,Apeture Size,Form,1,Light 2,1,1N6AA0EJ0FN569944
2020-03-28,Scratch,Surface,0,Light 2,0,1G6AJ5SX3F0334916
2020-04-02,Buldge,Surface,1,Rear Light,1,1G4HK5ES0BU158740
2020-04-22,Flush - Recess,Panel Assembly,0,Side Front Body,0,WAUGL98EX7A770167
2020-04-12,Crack,Form,0,Wing Mirror,0,5LMJJ2H58DE280409
2020-04-16,Apeture Size,Form,0,Rear Wheels,0,WBAKE5C57BE371660
2020-04-28,Apeture Size,Form,0,Large Body Part,0,1GTG5AE39F1235072
2020-03-04,Gap,Panel Assembly,1,Rear Light,1,5GAER13778J983020
2020-03-15,Contraction,Form,0,Skirt,0,SALFP2BN8AH865658
2020-04-12,Wrinkle,Surface,0,Rear Upper Body Part,0,SCBZB25E62C272980
2020-03-03,Contraction,Form,0,Spoiler,0,WBANV1C52AC350702
2020-03-20,Elevation,Surface,1,Door Handle,1,WVGFF9BP0BD759536
2020-03-03,Overall Dimensions,Form,0,Side Front Body,0,WBAUN13598V689709
2020-03-09,Radius,Form,0,Rear Wheels,0,WAUKG98E46A790752
2020-03-20,Depression,Surface,0,Door,0,3GYFK66N16G931048
2020-04-04,Contraction,Form,0,Rear Window,0,1N6AF0KY4FN599547
2020-04-14,Apeture Size,Form,0,Light 2,0,5UXFA93514L827852
2020-03-28,Flush - Protrusion,Panel Assembly,1,Rear Lower Body Part,1,3GYFK66N85G332498
2020-04-12,Crack,Form,1,Light 1,1,1GD21ZCG8CZ399786
2020-04-01,Radius,Form,1,Rear Bumper,1,WBA3B1C57DK184848
2020-04-08,Overall Dimensions,Form,1,Spoiler,1,WP0AA2A85FK871927
2020-04-06,Flush - Protrusion,Panel Assembly,1,Rear Bumper,1,WAUKFBFL9BN443528
2020-03-11,Overall Dimensions,Form,1,Large Body Part,1,JN8AZ1MU0DW657997
2020-04-09,Flush - Protrusion,Panel Assembly,0,Exhaust,0,1FTMF1C88AK430434
2020-04-24,Elevation,Surface,0,Door Handle,0,1C3BC1FB4BN967848
2020-04-20,Scratch,Surface,0,Rear Window,0,1G6DH577080840322
2020-04-18,Crack,Form,0,Spoiler,0,3D7JB1EK5BG395974
2020-03-29,Flush - Recess,Panel Assembly,0,Side Grill,0,WP0AA2A85CU091202
2020-03-09,Buldge,Surface,0,Side Grill,0,WAUYGAFC3DN152558
2020-03-19,Scratch,Surface,0,Windows,0,WAUEF98EX7A206694
2020-03-15,Gap,Panel Assembly,0,Exhaust,0,WAURFAFR5AA009917
2020-03-13,Crack,Form,0,Side Front Body,0,JN1AY1AP8CM640679
2020-04-10,Radius,Form,1,Light 1,1,WAUUL78E88A265799
2020-03-24,Flush - Protrusion,Panel Assembly,1,Door,1,1FMJU1H56AE724318
2020-04-22,Overall Dimensions,Form,0,Spoiler,0,3N1AB7AP7FL718775
2020-04-19,Radius,Form,0,Windows,0,WBADS334X3G403424
2020-03-20,Crack,Form,0,Side Front Body,0,WBAPH5G5XBN096096
2020-03-17,Depression,Surface,1,Skirt,1,WBAVB73567P750968
2020-03-09,Scratch,Surface,0,Exhaust,0,1G4HP57217U201665
2020-04-27,Scratch,Surface,0,Rear Wheels,0,JN1CV6EK8CM893854
2020-03-03,Crack,Form,1,Door Handle,1,KNAFU6A20C5491384
2020-03-15,Apeture Size,Form,1,Front Wheel,1,WBA4B1C59FD887539
2020-04-27,Scratch,Surface,1,Light 1,1,19XFB2F52DE935665
2020-04-03,Overall Dimensions,Form,1,Windows,1,SCBLE47K98C980497
2020-03-11,Contraction,Form,1,Rear Window,1,JTDKDTB34C1468558
2020-03-07,Contraction,Form,0,Skirt,0,SCBET9ZA8F8499835
2020-04-09,Apeture Size,Form,0,Exhaust,0,3G5DA03L37S665117
2020-04-08,Apeture Size,Form,1,Light 2,1,5UXWX9C51D0201685
2020-03-04,Scratch,Surface,1,Rear Light,1,JN8AZ1MU3DW298340
2020-04-05,Depression,Surface,0,Front Wheel,0,KNAGM4A75B5530909
2020-04-08,Radius,Form,1,Rear Upper Body Part,1,1GD01ZCGXEF372178
2020-04-16,Radius,Form,1,Rear Window,1,WBSDX9C50DJ960033
2020-03-25,Flush - Recess,Panel Assembly,1,Door,1,1G6DM8E31D0486365
2020-04-16,Apeture Size,Form,0,Rear Window,0,WBALL5C50FP896967
2020-04-01,Crack,Form,0,Side Front Body,0,5UXFA13576L566635
2020-03-18,Flush - Recess,Panel Assembly,1,Windscreen,1,JTDJTUD39ED517191
2020-04-11,Flush - Protrusion,Panel Assembly,0,Bonite,0,2G4GT5GC4B9577881
2020-04-07,Scratch,Surface,0,Skirt,0,JH4DC23111S374100
2020-04-11,Contraction,Form,1,Rear Wheels,1,WAUKH98E76A081651
2020-04-11,Scratch,Surface,1,Skirt,1,4A31K2DF3BE467361
2020-04-25,Overall Dimensions,Form,1,Fuel Cap Cover,1,1FBNE3BL4DD917054
2020-04-21,Depression,Surface,1,Spoiler,1,SCFAB01A37G643029
2020-04-28,Overall Dimensions,Form,1,Front Wheel,1,WAUBFCFL6CA493480
2020-03-23,Scratch,Surface,1,Light 2,1,KMHGC4DE7BU596878
2020-04-16,Elevation,Surface,1,Side Grill,1,WBAPK7C57AA176562
2020-03-14,Radius,Form,0,Rear Bumper,0,1N4AB7AP2EN086589
2020-04-24,Crack,Form,1,Exhaust,1,SCBDR3ZA5BC998557
2020-04-06,Scratch,Surface,0,Bonite,0,WAUMFAFHXFN406203
2020-04-03,Depression,Surface,0,Side Grill,0,4A31K3DT3AE265355
2020-04-15,Contraction,Form,0,Skirt,0,WBAKF9C5XBE273341
2020-03-29,Apeture Size,Form,0,Windows,0,ZFBCFABH6FZ198188
2020-03-05,Scratch,Surface,0,Rear Light,0,JH4DC53835S955330
2020-03-14,Depression,Surface,1,Rear Light,1,WAUUFAFHXDN397354
2020-04-25,Contraction,Form,0,Door,0,4T1BK3DB2BU526685
2020-03-24,Depression,Surface,1,Rear Window,1,1G6DK8EV0A0124823
2020-04-06,Depression,Surface,0,Side Front Body,0,1FTEX1CMXCF306840
2020-04-07,Elevation,Surface,0,Rear Window,0,1FMEU8FE8AU440367
2020-03-28,Flush - Recess,Panel Assembly,1,Rear Bumper,1,4USBU33538L038610
2020-04-17,Elevation,Surface,1,Large Body Part,1,WBABN33483P575644
2020-04-08,Apeture Size,Form,1,Exhaust,1,19UUA9F7XEA997163
2020-03-12,Apeture Size,Form,1,Light 2,1,1FTKR1AD1AP605186
2020-04-07,Depression,Surface,1,Skirt,1,JHMZE2H33DS122637
2020-04-07,Contraction,Form,0,Rear Bumper,0,1G6AB5SX2D0821311
2020-04-07,Elevation,Surface,1,Door,1,WAUA2AFD5DN550783
2020-04-15,Contraction,Form,0,Rear Bumper,0,3GYFNGE33ES914065
2020-03-04,Radius,Form,1,Rear Lower Body Part,1,KMHGC4DE0AU450837
2020-04-24,Buldge,Surface,1,Fuel Cap Cover,1,KMHHU6KJ0FU621493
2020-03-22,Flush - Protrusion,Panel Assembly,1,Side Grill,1,1GKS1FEJ1CR186937
2020-03-18,Scratch,Surface,0,Front Wheel,0,1GD02ZCG0BF318008
2020-03-13,Contraction,Form,1,Skirt,1,1N6AF0LX3EN244132
2020-04-14,Depression,Surface,0,Windows,0,1N4AL2AP4BC564969
2020-03-08,Apeture Size,Form,0,Rear Bumper,0,WAULH64B91N643369
2020-04-06,Crack,Form,1,Light 2,1,WAULT58E12A455063
2020-03-07,Gap,Panel Assembly,1,Light 2,1,3GYFNCE39ES756419
2020-03-19,Apeture Size,Form,0,Wing Mirror,0,1GD12ZCG6BF768072
2020-03-10,Apeture Size,Form,1,Door Handle,1,WAUEL74F15N280068
2020-04-07,Apeture Size,Form,1,Door Handle,1,5N1AR2MM0EC919226
2020-03-14,Apeture Size,Form,0,Fuel Cap Cover,0,WA1VMBFE9ED768451
2020-03-18,Gap,Panel Assembly,0,Windscreen,0,JN8AE2KP8B9066682
2020-03-08,Contraction,Form,1,Light 2,1,1FMEU7DE0AU735654
2020-03-19,Flush - Protrusion,Panel Assembly,0,Front Wheel,0,1FTSW2B50AE383421
2020-04-27,Crack,Form,1,Rear Bumper,1,WBAVT13596K457801
2020-03-24,Dent,Surface,0,Exhaust,0,WBAVB77558N466738
2020-03-01,Depression,Surface,0,Windows,0,3D73Y4CL2BG746361
2020-04-22,Elevation,Surface,0,Side Front Body,0,SCBCU7ZAXBC367644
2020-04-15,Flush - Recess,Panel Assembly,1,Bonite,1,WBAEW53465P080299
2020-04-11,Scratch,Surface,0,Rear Lower Body Part,0,1N6AF0LY3FN411891
2020-03-10,Elevation,Surface,1,Windows,1,1G4GC5G33FF561314
2020-03-07,Wrinkle,Surface,1,Windscreen,1,JH4NA21625S277924
2020-03-03,Contraction,Form,1,Windscreen,1,WAUDN74F98N349048
2020-03-12,Crack,Form,0,Rear Lower Body Part,0,5N1AN0NW0DN278386
2020-03-29,Dent,Surface,0,Wing Mirror,0,2HNYD18252H141514
2020-03-04,Dent,Surface,0,Rear Wheels,0,WVGAV7AX9AW213288
2020-03-27,Overall Dimensions,Form,0,Fuel Cap Cover,0,WA1CV94L59D249434
2020-04-11,Depression,Surface,1,Rear Lower Body Part,1,1G6AY5S39F0846026
2020-03-16,Gap,Panel Assembly,0,Windows,0,WBAKB8C53AC250547
2020-03-20,Depression,Surface,1,Rear Light,1,1GT3CZBG1AF380791
2020-03-01,Crack,Form,1,Spoiler,1,2HNYD28209H143638
2020-03-15,Wrinkle,Surface,1,Windscreen,1,SCBLC47J87C300973
2020-03-23,Apeture Size,Form,1,Rear Light,1,WBA3B1C55F5909347
2020-04-27,Apeture Size,Form,0,Fuel Cap Cover,0,1N6AA0EC2DN047606
2020-04-07,Depression,Surface,1,Fuel Cap Cover,1,WBANF335X6B284244
2020-03-27,Crack,Form,0,Windscreen,0,SCFAB02A47G378524
2020-03-19,Radius,Form,1,Spoiler,1,5YMGY0C57D0089089
2020-04-22,Contraction,Form,1,Large Body Part,1,4JGBB2FB3AA049532
2020-04-05,Elevation,Surface,0,Light 2,0,WAULFAFH0AN551626
2020-04-15,Buldge,Surface,1,Large Body Part,1,WBAEU33452K221608
2020-03-17,Wrinkle,Surface,1,Light 2,1,3C63D3GL3CG739437
2020-04-29,Elevation,Surface,0,Rear Light,0,WBASP4C58AC753436
2020-04-14,Scratch,Surface,0,Side Front Body,0,WAUEF48HX7K142213
2020-04-11,Elevation,Surface,1,Windscreen,1,1FTWX3D54AE166455
2020-04-22,Crack,Form,0,Exhaust,0,1G6DD67V690401627
2020-04-15,Wrinkle,Surface,1,Light 2,1,1G6DL1ED1B0031788
2020-04-19,Scratch,Surface,1,Fuel Cap Cover,1,YV4940BZ5E1842662
2020-04-19,Flush - Recess,Panel Assembly,1,Door Handle,1,3FADP0L33AR173392
2020-04-03,Gap,Panel Assembly,0,Rear Wheels,0,3GYFNEE34FS493401
2020-03-07,Gap,Panel Assembly,1,Rear Upper Body Part,1,JN1AZ4EHXCM586352
2020-04-17,Elevation,Surface,0,Light 2,0,WAUDH98E08A578181
2020-03-17,Radius,Form,1,Exhaust,1,1GD02XEG8FZ220916
2020-04-20,Elevation,Surface,0,Front Wheel,0,WA1CMBFP3FA035095
2020-03-04,Dent,Surface,0,Rear Bumper,0,2T1BURHE6FC739602
2020-04-20,Wrinkle,Surface,0,Exhaust,0,JA4AS2AW6AZ244000
2020-03-01,Buldge,Surface,1,Side Front Body,1,19UUA8F56EA757195
2020-04-11,Scratch,Surface,1,Front Wheel,1,SCFBF03B68G839563
2020-04-27,Dent,Surface,1,Rear Lower Body Part,1,KMHTC6AD1DU364897
2020-03-04,Flush - Recess,Panel Assembly,1,Rear Lower Body Part,1,SALME1D42BA787044
2020-03-25,Dent,Surface,1,Light 1,1,3C3CFFER0FT125554
2020-03-15,Crack,Form,1,Spoiler,1,5N1AR2MM1EC091462
2020-04-14,Apeture Size,Form,0,Exhaust,0,WVGEF9BP7ED423219
2020-03-17,Apeture Size,Form,0,Rear Light,0,3VWJX7AJ7AM364346
2020-03-24,Buldge,Surface,0,Windscreen,0,WAUWGAFC7DN306549
2020-03-09,Elevation,Surface,1,Rear Upper Body Part,1,JN8AS5MT1CW571969
2020-03-31,Elevation,Surface,0,Front Wheel,0,1FTWX3D5XAE616626
2020-03-31,Contraction,Form,1,Fuel Cap Cover,1,3D7TP2CTXBG069230
2020-03-13,Flush - Recess,Panel Assembly,0,Light 1,0,SCFEBBCF3CG728145
2020-04-28,Dent,Surface,0,Rear Bumper,0,1N6AA0CA2BN063769
2020-04-09,Buldge,Surface,1,Door,1,2G61V5S82F9778887
2020-04-02,Apeture Size,Form,1,Windows,1,WAULV44E27N919553
2020-04-13,Gap,Panel Assembly,0,Side Front Body,0,JN8AZ2NC8D9313179
2020-04-03,Gap,Panel Assembly,0,Bonite,0,2C3CDYBT3CH524691
2020-04-14,Wrinkle,Surface,0,Rear Window,0,WA1YD54BX3N104822
2020-04-23,Dent,Surface,1,Door,1,1FTEW1C80AK256623
2020-03-20,Flush - Recess,Panel Assembly,1,Windscreen,1,1G6KF57922U292158
2020-03-12,Flush - Protrusion,Panel Assembly,1,Rear Window,1,YV4952CYXE1365015
2020-03-08,Buldge,Surface,1,Rear Bumper,1,JTHBE1D27E5658743
2020-04-05,Apeture Size,Form,0,Rear Window,0,3VW4A7AT5DM210559
2020-03-29,Radius,Form,1,Rear Lower Body Part,1,1GD311CG9FF943966
2020-03-27,Elevation,Surface,0,Rear Window,0,JH4CL96977C412440
2020-03-09,Elevation,Surface,0,Side Grill,0,JTHBK1GG0D2077536
2020-03-17,Elevation,Surface,1,Fuel Cap Cover,1,3N1CN7AP3EL122089
2020-03-23,Flush - Protrusion,Panel Assembly,0,Front Wheel,0,WBAEB53548C718050
2020-04-25,Depression,Surface,1,Light 1,1,1G6AC5S36E0119939
2020-03-08,Gap,Panel Assembly,1,Windows,1,JTHKD5BH2B2686450
2020-03-12,Wrinkle,Surface,1,Spoiler,1,KMHHT6KD1AU938673
2020-04-02,Flush - Protrusion,Panel Assembly,0,Wing Mirror,0,3C3CFFER0CT581081
2020-03-14,Depression,Surface,1,Windscreen,1,3D73Y4EL0BG566762
2020-04-22,Radius,Form,0,Rear Lower Body Part,0,1FTEX1CM5CF689084
